V,0,2,2
V,1,2,102
V,2,2,202
V,3,2,302
V,4,2,402
V,5,2,502
V,6,102,2
V,7,102,102
V,8,102,202
V,9,102,302
V,10,102,402
V,11,102,502
V,12,202,2
V,13,202,102
V,14,202,202
V,15,202,302
V,16,202,402
V,17,202,502
V,18,302,2
V,19,302,102
V,20,302,202
V,21,302,302
V,22,302,402
V,23,302,502
V,24,402,2
V,25,402,102
V,26,402,202
V,27,402,302
V,28,402,402
V,29,402,502
V,30,502,2
V,31,502,102
V,32,502,202
V,33,502,302
V,34,502,402
V,35,502,502
V,36,602,2
V,37,602,102
V,38,602,202
V,39,602,302
V,40,602,402
V,41,602,502
V,42,702,2
V,43,702,102
V,44,702,202
V,45,702,302
V,46,702,402
V,47,702,502
