V,2,2,202
V,3,2,302
V,4,2,402
V,5,2,502
V,6,102,2
V,7,102,102
V,8,102,202
V,10,102,402
V,11,102,502
V,12,202,2
V,16,202,402
V,18,302,2
V,19,302,102
V,20,302,202
V,22,302,402
V,23,302,502
V,26,402,202
V,29,402,502
V,31,502,102
V,32,502,202
V,33,502,302
V,34,502,402
V,35,502,502
V,37,602,102
V,38,602,202
V,39,602,302
V,40,602,402
V,41,602,502
V,43,702,102
V,45,702,302
V,46,702,402
E,6,7
E,7,6
E,7,8
E,8,7
E,8,2
E,2,8
E,2,3
E,3,2
E,3,4
E,4,3
E,4,5
E,5,4
E,4,10
E,10,4
E,5,11
E,11,5
E,11,10
E,10,11
E,10,16
E,16,10
E,16,22
E,22,16
E,22,23
E,23,22
E,23,29
E,29,23
E,29,35
E,35,29
E,35,41
E,41,35
E,35,34
E,34,35
E,41,40
E,40,41
E,34,40
E,40,34
E,34,33
E,33,34
E,40,46
E,46,40
E,40,39
E,39,40
E,46,45
E,45,46
E,45,39
E,39,45
E,39,33
E,33,39
E,39,38
E,38,39
E,33,32
E,32,33
E,38,37
E,37,38
E,38,32
E,32,38
E,37,43
E,43,37
E,37,31
E,31,37
E,31,32
E,32,31
E,32,26
E,26,32
E,26,20
E,20,26
E,20,19
E,19,20
E,19,18
E,18,19
E,18,12
E,12,18
E,12,6
E,6,12
